Media Sources,Compound Score,Positive Score,Neutral Score,Negative Score,Tweet Text,Tweet ID,Date,Time_diff,Tweets Ago
New York Times,0.0,0.0,1.0,0.0,"In @NYTOpinion,
Op-Ed contributor Molly Worthen writes about ""the podcast bro ethos: Ditch your ideologically charg… https://t.co/svODULtBHO",1025827480773566465,2018-08-04 19:35:05,0.24972222222222223,30
New York Times,0.0,0.0,1.0,0.0,Tracing the evolution of black American cinema https://t.co/KOWi762wrt,1025824541367566337,2018-08-04 19:23:24,0.1947222222222222,31
New York Times,0.1776,0.162,0.747,0.091,"On the eve of fresh U.S. sanctions, more protesters are taking to the streets in Iran. They're not complaining abou… https://t.co/AF9PFdsagN",1025819932993445888,2018-08-04 19:05:05,0.30527777777777776,32
New York Times,-0.1779,0.112,0.747,0.141,“They were all liars and con men. I wish I could turn the clock back.” A North Korean restaurant manager says South… https://t.co/UGmAa1BXNY,1025816148212961280,2018-08-04 18:50:03,0.25055555555555553,33
New York Times,-0.5106,0.0,0.858,0.142,"Dick Cavett, whose decades as a TV talk show host shaped the genre, is finding new fans on YouTube and Twitter https://t.co/p5YmlP0vVs",1025812378636742656,2018-08-04 18:35:04,0.24972222222222223,34
New York Times,0.431,0.137,0.863,0.0,"It wasn't a crime to carry marijuana. Then four words from a 1977 law changed everything: ""Open to public view."" https://t.co/wrjyr7y6M0",1025808615410679808,2018-08-04 18:20:07,0.24916666666666668,35
New York Times,0.4019,0.13,0.87,0.0,"Two new studies indicate that just a couple weeks of inactivity, even when bookended with active periods, can resul… https://t.co/v1rLO6Bcv9",1025804836439293952,2018-08-04 18:05:06,0.25027777777777777,36
New York Times,-0.8442,0.0,0.637,0.363,"Afghans are angry after the government offered the ISIS fighters who raped and pillaged their homes a guesthouse, s… https://t.co/31b6C5URag",1025801053508435968,2018-08-04 17:50:04,0.25055555555555553,37
New York Times,-0.34,0.0,0.888,0.112,A former Marine officer wrestles with what it means to serve when combat is not part of your military career. https://t.co/rLVD2b4po9,1025797021041651714,2018-08-04 17:34:02,0.26722222222222225,38
New York Times,-0.765,0.0,0.742,0.258,A man who harassed a bison at Yellowstone National Park in a viral video was arrested. It was his 4th run-in with n… https://t.co/l4XmMcDizu,1025793513001299968,2018-08-04 17:20:06,0.23222222222222222,39
New York Times,0.2023,0.145,0.748,0.107,President Trump mocked LeBron James’s intelligence after the NBA star said that Mr. Trump was “dividing us” https://t.co/VPAaF0eK7K,1025789742808481793,2018-08-04 17:05:07,0.24972222222222223,40
New York Times,0.0,0.0,1.0,0.0,Scorching Summer in Europe Signals Long-Term Climate Changes https://t.co/2BbpvEamd8,1025711227215994885,2018-08-04 11:53:08,5.199722222222222,41
New York Times,0.0,0.0,1.0,0.0,"""This is the new normal: Everyone starts taking out their phones and emailing their bosses that they're going to be… https://t.co/N2IbTTa65v",1025708443594903557,2018-08-04 11:42:04,0.18444444444444444,42
New York Times,-0.7096,0.0,0.753,0.247,"RT @paula_span: Even if the experts ""fix"" the problem, can hospitalization itself damage older patients? The intriguing concept of post-hos…",1025703144074952704,2018-08-04 11:21:00,0.3511111111111111,43
New York Times,0.6152,0.353,0.491,0.155,A dessert so easy and so delicious only a fool could pass it up https://t.co/dDqBbkss4Z,1025698364233588738,2018-08-04 11:02:01,0.3163888888888889,44
New York Times,-0.5106,0.062,0.766,0.172,San Francisco officials want to ban new tech company cafeterias in an effort to revitalize local neighborhoods https://t.co/B8zJptZ0w8,1025693180577099776,2018-08-04 10:41:25,0.3433333333333333,45
New York Times,-0.6249,0.0,0.746,0.254,Anatomy of a Scene: How a Simple Moment in ‘The Spy Who Dumped Me’ Became an Elaborate Shoot https://t.co/CoSi25HTTX,1025689144536780806,2018-08-04 10:25:23,0.26722222222222225,46
New York Times,0.5574,0.338,0.539,0.123,"Sure, they're gross, but do cockroaches carry diseases? Glad you asked. https://t.co/ISRoVpW75N",1025684704731770885,2018-08-04 10:07:44,0.2941666666666667,47
New York Times,-0.5574,0.0,0.847,0.153,"Hemingway wrote five short stories in 1956, telling his publisher they could be released after he died. Only one of… https://t.co/O8SVCsik8f",1025680179765686272,2018-08-04 09:49:45,0.2997222222222222,48
New York Times,0.0,0.0,1.0,0.0,"RT @nytimesworld: Why are American soldiers running daily patrols along a front line in Syria against Turkey, a NATO ally? https://t.co/4VJ…",1025675732889022464,2018-08-04 09:32:05,0.29444444444444445,49
New York Times,0.5859,0.183,0.817,0.0,"A political storm is brewing in Kansas, where the hard-charging Kris Kobach may win the Republican governor's nomin… https://t.co/gA0qNKVwC6",1025668175747338240,2018-08-04 09:02:03,0.5005555555555555,50
New York Times,0.0,0.0,1.0,0.0,Data Breaches Keep Happening. So Why Don’t You Do Something? https://t.co/uarmqxo1O5,1025665899586641921,2018-08-04 08:53:01,0.15055555555555555,51
New York Times,-0.8018,0.0,0.744,0.256,RT @RichSandomir: Professional wrestler Nikolai Volkoff was a Soviet heel during his heyday but was really a Croatian who hated Communism.…,1025660876500680705,2018-08-04 08:33:03,0.3327777777777778,52
New York Times,-0.4767,0.0,0.843,0.157,"""I have three kids. I’ve left them home alone since the age of 7 to drop off dry cleaning, grab a coffee or pick up… https://t.co/dOhCGBVwug",1025654442069295104,2018-08-04 08:07:29,0.4261111111111111,53
New York Times,0.0,0.0,1.0,0.0,"In 2014, GoPro founder Nicholas Woodman donated $500 million to the Silicon Valley Community Foundation. Four years… https://t.co/VrXTetL6YH",1025649889311641600,2018-08-04 07:49:23,0.3016666666666667,54
New York Times,0.4939,0.113,0.887,0.0,"RT @PekingMike: In China, HNA had mastered the art of government relations. So it tried its hand in the USA. Things didn’t work out so well…",1025645533136920576,2018-08-04 07:32:05,0.28833333333333333,55
New York Times,0.0,0.0,1.0,0.0,"Many San Francisco residents had never heard of ""The East Cut."" Then Google told some of them they lived there. https://t.co/3PdTDwuCVO",1025638949551841280,2018-08-04 07:05:55,0.4361111111111111,56
New York Times,-0.1511,0.0,0.914,0.086,From @nytimestravel: A guide to 10 cities where you can have an upscale trip without paying top dollar https://t.co/sEi8CdPmlC,1025634496069214208,2018-08-04 06:48:13,0.295,57
New York Times,0.0,0.0,1.0,0.0,"RT @nytimesworld: For a decade, Oscar Centeno drove bags of cash from businessmen to government officials in Argentina. He also took meticu…",1025630433780883456,2018-08-04 06:32:05,0.2688888888888889,58
New York Times,0.0,0.0,1.0,0.0,"The idea: a sunflower viewing for tourists.
The result: ""a zombie apocalypse.""
https://t.co/sK6TEoYuGS",1025624367349346304,2018-08-04 06:07:59,0.40166666666666667,59
New York Times,0.0,0.0,1.0,0.0,Those green swirling masses you see on the beach? They're not algae. They're green worms. https://t.co/d2JiBeYarR,1025619816466587648,2018-08-04 05:49:53,0.3016666666666667,60
New York Times,-0.5574,0.0,0.874,0.126,"RT @NYTObits: Rick Genest, a model known as Zombie Boy who appeared in Lady Gaga's music video for the song ""Born This Way,"" has died at 32…",1025466334858145792,2018-08-03 19:40:01,10.164444444444445,61
New York Times,0.6152,0.353,0.491,0.155,A dessert so easy and so delicious only a fool could pass it up https://t.co/ksfXTfi59D,1025463856892731392,2018-08-03 19:30:10,0.16416666666666666,62
